;salary;experience;schedular;description;key_skills;url;prof;skill
19;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->40 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;"Обязанности:  Устранение и выявление различного рода проблем и неисправностей в работе водоподготовительного оборудования; Осуществляет ведение процесса химической очистки воды в бассейне; Осуществляет контроль параметров технологического режима, предусмотренных регламентом: температуры, давления, скорости подачи воды, концентрации регенерирующих растворов по показаниям контрольно-измерительных приборов и результатам химических анализов  Требования:  Среднее профессиональное техническое образование;  Условия:  Работа на спортивной базе ""Олимпийские надежды"" (Москва, Новомосковский и Троицкий АО, п. Краснопахорское, вблизи с. Былово) с возможностью проживания в течение рабочей недели; Оформление по ТК; Стабильная официальная заработная плата. ";['Умение работать в команде', 'Точность и внимательность к деталям', 'Умение работать в команде', 'Точность и внимательность к деталям'];https://hh.ru/vacancy/37122150;apparatchik;['умение_NOUN', 'работать_VERB', 'в_ADP', 'команда_NOUN', 'точность_NOUN', 'и_SCONJ', 'внимательность_NOUN', 'к_ADP', 'деталь_NOUN', 'умение_NOUN', 'работать_VERB', 'в_ADP', 'команда_NOUN', 'точность_NOUN', 'и_SCONJ', 'внимательность_NOUN', 'к_ADP', 'деталь_NOUN']
20;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->25 000<!-- --> до <!-- -->37 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, сменный график;Хочешь интересную и стабильно оплачиваемую работу рядом с домом? Добро пожаловать в нашу дружную команду! Работа рядом с метро в крупных ТЦ: м. Выставочная/ м.Деловой центр, м.Сходненская, м.Водный стадион, м. Отрадное, м Калужская , м. ЦСКА, м.Речной вокзал, м.Водный стадион, м.Тульская, м.Щёлковская , г.Мытищи  Чем ты будешь заниматься:  Развивать культуру правильного питания в стране Готовить напитки (авторский кофе, органический чай, свежевыжатые соки) Работать за кассой Консультировать гостей около витрины Участвовать в выездных мероприятиях Компании  Пожелания к кандидатам:  Мы ждем открытых, амбициозных, целеустремленных и настроенных на успех людей, которые в процессе работы будут развиваться вместе с нами  Условия:  График работы 2/2 Креативная дружная команда Профессиональное обучение за счёт Компании Стильная корпоративная форма Возможность работать в любом кафе Компании Быстрый карьерный взлёт Оформление по ТК РФ Вкусное и правильное питание за счёт Компании! ;['Работа в команде', 'Креативность', 'Грамотная речь', 'Деловое общение', 'Обучение и развитие'];https://hh.ru/vacancy/37879197;barista;['работа_NOUN', 'в_ADP', 'команда_NOUN', 'креативность_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'деловой_ADJ', 'общение_NOUN', 'обучение_NOUN', 'и_SCONJ', 'развитие_NOUN']
21;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">до <!-- -->70 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, гибкий график;"Yumbaker [ямбэйкер] - место, которое мы сделали так, чтобы наслаждатьсяидеальными десертами, простыми полезными завтраками и превосходным кофе,общаться с приятными людьми, собираться всей семьей за большим столом,читать любимые книги или просто мечтать под приятную музыку, в одиночестве сидя у окна... Эта вакансия только для людей с профильным опытом: если Вы умеете извлечь невероятные оттенки вкуса из хорошего зерна, если Вы не мыслите свое утро без идеального эспрессо, если Вы с легкостью доводите молоко до текстуры шелка и с закрытыми глазами рисуете сердце на поверхности превосходного капучино, а кемекс, воронка и аэропресс - ваши любимые гаджеты - эта работа для Вас! Мы ищем человека, такого же как мы:  глубоко погруженного в кофейную культуру, умеющего работать руками, открытого, общительного и позитивного, внимательного, педантичного и быстрого, готового во всем помогать команде, уверенного, как и мы, в том, что успех достигается только полной самоотдачей и постоянной работой над собой.    У нас можно:  работать на прекрасном оборудовании и зерне самого высокого уровня получить удобный график и достойные деньги:  - 4/3 (3 индивидуальных выходных): 7:15-19:45 или 10:15-22:45 / до 70.000 ₽/мес  а еще:  мы кормим своих сотрудников вкусным обедом и ужином поддерживаем стремление к профессиональному развитию и карьерному росту    Вашими преимуществами будут:  короткий содержательный рассказ о том, кто Вы есть, что умеете, чему хотите научиться; ваша предварительная осведомленность о том, что такое YUMBAKER, нашей концепции, продукте и сервисе; знание английского языка на уровне, достаточном для комфортного общения с гостями.  Убедитесь, пожалуйста, что к вашему резюме прикреплено актуальное фото, а в сопроводительном письме указан график, который Вам больше всего подходит. До скорой встречи в YUMBAKER!";[];https://hh.ru/vacancy/37304999;barista;[]
22;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->45 000<!-- --> до <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, сменный график;"Кофе - важнейшая составляющая кафе Kalabasa. Кто-то из гостей приходит специально за чашечкой крутого эспрессо, а кто-то выбирает волшебный Латте в пару к десерту. Если вы - тот человек, кто готов ежедневно поддерживать высокий уровень напитков и сервиса наравне с тёплой душевной атмосферой в нашем кафе, мы будем рады принять вас в наш дружный профессиональный коллектив. Нам нужен классный бариста:  который знает, чем хороша Эфиопия, а чем Колумбия, что такое Суматра, и почему хороший эспрессо - это не 60 мл из 17 граммовой закладки; который может самостоятельно за 3-4 подхода настроить эспрессо на новом зерне; который, взбивает идеальное молоко для капучино, даже если молоко миндальное или кокосовое; который обязательно нарисует розетту или тюльпан даже в стаканчике ""с собой""; аккуратный, внимательный, позитивный и энергичный, вкладывающий всю свою любовь в каждый напиток; готовый во всем помогать на кухне и успевать дарить своё внимание нашим гостям;  А ещё в обязанности за баром входит:  Открытие и закрытие смены; Коррекция помола и пролива кофе; Помощь нашим гостям в выборе напитков и десертов; Подача/упаковка напитков и десертов; Расчёт на кассе; Уборка столов; Поддержание рабочего места и зала в идеальной чистоте и красоте;    Мы со своей стороны:  никогда не задерживаем выплату ЗП; кормим своих сотрудников вкусным завтраками и обедами; по возможности, стараемся учесть пожелания по необходимым выходным дням и составить максимально удобное для всех расписание, по умолчанию оно следующее - 2/2 8:30 - 21:30; поддерживаем стремление к профессиональному развитию и карьерному росту - бариста всегда участвуют в обновлении меню напитков, иногда самостоятельно выискивают новые волшебные сорта кофе, а порой даже по желанию подменяют менеджеров на приёме заказов; подбираем в команду только людей, с которыми будет комфортно и радостно работать всей нашей команде, на которых мы можем всегда положиться;    Внимание! Просим вас учесть:  мы - не сетевая кофейня с посредственными стандартами качества и не очередной ""кофе с собой"". У нас очень крутые напитки, лучшие десерты и невероятное солёное меню, и вы должны соответствовать этому высокому уровню как внешне, так и внутренне; в баре нашего кафе не получится отсидеться - работы всегда много, и она очень разнообразна. Наши сотрудники всегда готовы прийти друг к другу на помощь, поэтому мы не приемлем фразы ""это не моя забота""; если вы хотите у нас работать, пожалуйста, потрудитесь навести о нас справки и приходите на собеседование зная, кто мы такие, чем знамениты и как к этому пришли - это открытая и доступная информация. Это будет являться важным показателем вашей сознательности на собеседовании с руководством;    Если Вы были внимательны, и уверены, что всё это про Вас, мы с нетерпением ждем:  короткий содержательный рассказ о том, кто Вы есть, что умеете, чему хотите научиться и чем можете быть полезны нам; почему для этого Вам нужны именно мы; вашу актуальную фотографию.  *эти три пункта обязательны - без них мы не сможем рассмотреть вашу кандидатуру. Ваши резюме, ответы на вопросы и другую информацию о себе вы можете присылать на почту или в WhatsApp по номеру, указанному в контактах. До встречи в Kalabasa:)";[];https://hh.ru/vacancy/37595939;barista;[]
23;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->35 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"В связи с открытием новой кофейни КОФЕБУМ приглашаем на работу бариста! Важно:  Базовый опыт работы с рожковой кофемашиной и знания о кофе (проводится дополнительное обучение). Желание развиваться как бариста. Ответственность и аккуратность в работе, энергичность и доброжелательность в общении с гостями. Наличие действующей мед. книжки или готовность ее продлить/оформить.  Обязанности:  Работа с кофемашиной – приготовление кофе и кофейных напитков, поддержание чистоты на рабочем месте. Продажа готовой выпечки/снеков. Работа с кассой. Прием и учет товара.  Условия:  Работа внутри кафетерия в БЦ ""Очаково"" (10 мин пешком от метро Озёрна) Рабочая смена на с 9:00 до 17:00, (перерыв 1 час разбитый на перерывы по 10-15 минут).  График: 5/2 Оплата:Выход в смену 1500р + доплата за выручку выше плана+ чаевые. Выплата 2 раза в месяц. Заинтересовало? - звоните! (с 10:00 до 19:00) В отклике просьба сразу указывать:1. Как Вас зовут2. Сколько Вам лет3. Откуда будете добираться (метро)4. Какой опыт был в этой сфере, есть ли мед. книжка5. Ваше гражданство6. Ваш контактный телефон";[];https://hh.ru/vacancy/37712173;barista;[]
24;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;Обязанности:  приготовление напитков на основе эспрессо, а также приготовление чая, лимонадов, смузи обслуживание гостей, приём заказов кассовый расчёт оформление витрины уборка рабочего места и помещения  Требования:  Доброжелательность активность опыт работы бариста грамотная речь  Условия:  график обговариваемый первые три дня стажировки не оплачиваемые период стажировки определяется индивидуально официальное оформление заработная плата 2 раза в месяц ;['Приготовление кофе'];https://hh.ru/vacancy/37884235;barista;['приготовление_NOUN', 'кофе_NOUN']
25;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->70 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день; Требуется ответственный сотрудник, нацеленный на результат! Работа в Отличном и дружелюбном коллективе. Поддерживать Чистоту и порядок на рабочем месте. Основная работа, прием заказа, приготовление Вкусного Кофе, общение с гостями. Соблюдение сроков годности, контроль таймеров на продукции. Вовремя приходить на работу и выполнять должностную инструкцию. Работа по Технологическим картам. Требуется Аккуратный человек. Общение с гостями , поддержание разговора, быть заинтересованным в своей работе, развиваться вместе с компанией.  Требования:  Опыт работы не менее 3 лет Приветствуется знание иностранных языков. Стрессоустойчивый, трудолюбивый, исполнительный. Мед.книжка.  Условия:  График работы обсуждается на собеседование.( 2/2, 5/2, 8/1) Персональный обед и ужин за счет компании! Все условия для работы! Официальное оформление ( оформление по договору, выплаты вовремя) Выплата два раза в месяц без задержек! Первый месяц 180 рублей час(испытательный срок) дальше 200 в час+ бонусная программа, ставка постоянно увеличивается по достижению результатов. ;[];https://hh.ru/vacancy/37817905;barista;[]
26;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">з/п не указана</span>";не требуется;Полная занятость, гибкий график;"Ищем надежных, инициативных и ярких.Coffee Like — это уникальная компания, 1-ая сеть в стране в формате кофе с собой. За 6 лет мы открыли более 700 розничных точек в России и еще в 7 странах.Сотрудники Coffee Like — одна из наших сильных сторон, они — лицо бренда.Именно поэтому мы с особым трепетом подходим к выбору специалистов, считаясь с их возможностями, мечтами и желаниями.Наше правило: работать по принципу «нравится», а не «потому что надо». Мы стремимся к результату через решение личных задач, через работу в удовольствие с мечтами о большем. Обязанности:  приготовление напитков; общение с гостями кофе-бара, помощь в выборе напитка; поддержание чистоты на рабочем месте; работа с кассовым аппаратом.  Требования:  общительность и грамотная речь; аккуратность и чистоплотность; ответственность; инициативность; желание развиваться, а не стоять на месте.  Условия:  Станция Чехов, Павшино, Железнодорожная; Гибкий график (возможность совмещения с учебой); Курс обучения по приготовлению кофе; Возможность карьерного роста; Официальное трудоустройство. ";['Грамотная речь', 'Работа в команде', 'Деловое общение', 'Навыки межличностного общения', 'Умение работать в команде'];https://hh.ru/vacancy/37541529;barista;['грамотный_ADJ', 'речь_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'деловой_ADJ', 'общение_NOUN', 'навык_NOUN', 'межличностный_ADJ', 'общение_NOUN', 'умение_NOUN', 'работать_VERB', 'в_ADP', 'команда_NOUN']
27;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->50 000<!-- --> до <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";не требуется;Полная занятость, сменный график;Требуется Барвумэн/Бармен Обязанности:  Приготовление б/а напитков,кофе,смузи,лимонады. Расчет гостей.  Требования:  Обязательно умение варить кофе. Наличие мед.книжки.  Условия:  Официальное трудоустройство. Выплаты 2 раза в месяц. ;['Русский\xa0— C2 — В совершенстве', 'Работа в команде', 'Умение работать в команде', 'умение варить кофе'];https://hh.ru/vacancy/37827790;barista;['русский_NOUN', 'в_ADP', 'совершенство_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'умение_NOUN', 'работать_VERB', 'в_ADP', 'команда_NOUN', 'умение_NOUN', 'варить_VERB', 'кофе_NOUN']
28;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->45 000<!-- --> до <!-- -->55 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;Мы развивающаяся сеть кафе блинных Три Сковородки. Основное меню - блины, каши, супы. Упор на домашнюю кухню. Все блюда готовятся на месте. Сейчас планируем улучшить качество кофе и напитков, поэтому ищем бариста с опытом. Находимся в ТРЦ Кунцево Плаза, на Молодежной. Обязанности: приготовление кофе и напитков, вежливое обслуживание гостей. Работа с кассой. выпечка блинов и разогрев готовой еды. Блины выпекать научат, это не сложно Требование: опыт работы от года, любовь к кофе, любовь к труду. Условия: график 2/2, 5/2 на выбор. Режим работы в графике трц 9-22 Оплата за смену 2200р. на руки + премии по результату работы.(после первого месяца) Обед и ужин в течение дня на выбор, за счет компании. Возможность для креатива и роста.;['варить кофе', 'варить кофе'];https://hh.ru/vacancy/37772937;barista;['варить_VERB', 'кофе_NOUN', 'варить_VERB', 'кофе_NOUN']
29;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, гибкий график;Должностные обязанности: - Приготовление кофейных напитков, сервировка мороженого, десертов - Работа на кассе - Выполнение обязанностей по поддержанию чистоты в баре кофейни - Общение с покупателями Требования: - наличие мед. книжки - ответственность - активность Условия: - Работа на территории ТЦ МЕГА Белая Дача - Гибкий график работы по договоренности - Премии за переработки+ % от выполнения плана - Компенсация проезда - Бесплатное питание - Бесплатное квалифицированное обучение - Бесплатная форменная одежда - Дружный молодой коллектив - Развитие и возможность карьерного роста - Оформление по ТК РФ;['Деловое общение', 'Работа в команде', 'Пользователь ПК', 'Обучение и развитие', 'Навыки межличностного общения', 'Деловое общение', 'Работа в команде', 'Пользователь ПК', 'Обучение и развитие', 'Навыки межличностного общения'];https://hh.ru/vacancy/37781683;barista;['деловой_ADJ', 'общение_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'пользователь_NOUN', 'пк_NOUN', 'обучение_NOUN', 'и_SCONJ', 'развитие_NOUN', 'навык_NOUN', 'межличностный_ADJ', 'общение_NOUN', 'деловой_ADJ', 'общение_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'пользователь_NOUN', 'пк_NOUN', 'обучение_NOUN', 'и_SCONJ', 'развитие_NOUN', 'навык_NOUN', 'межличностный_ADJ', 'общение_NOUN']
30;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->50 000<!-- --> до <!-- -->75 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";не требуется;Полная занятость, полный день;    Приглашаются в команду-бармены Требуемый опыт работы: •Не требуется.Возможно обучение. Обязанности: •Приготовление алкогольных коктейлей и б/а. •Работа за контактной барной стойкой. •Оказание помощи при составлении заказа. •Подготовка бара к открытию и закрытию. •Проведение инвентаризации. •Умение обращаться с оборудованием барной стойки. •Контроль частоты и порядка на рабочем месте. Требования: •Стрессоустойчивость,ответственность,коммуникабельность. •Готовность обучаться и работать •Наличие личной медицинской книжки/готовность ее сделать. •Четкое и быстрое обслуживание гостей. Условия: •Гибкий график работы. •Работа в центре Москвы. •Дружный коллектив. •Стабильные выплаты без задержек,развитие и рост.  ;['Пользователь ПК', 'Барное ремесло', 'Работа в команде', 'R-Keeper'];https://hh.ru/vacancy/37774700;barmen;['пользователь_NOUN', 'пк_NOUN', 'барный_ADJ', 'ремесло_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN']
31;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">до <!-- -->110 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";не требуется;Полная занятость, гибкий график;В крупнейший комплекс клубов, баров и ресторанов в самом центре Москвы требуются Бармены, мы приглашаем тебя стать частью нашей большой и дружной команды Обязанности: - Открытие/закрытие бара - Подготовка /уборка рабочего места - Приготовление коктейлей - Консультация гостей по напиткам - Создание атмосферы гостеприимства - Умение работать в команде ​​​​​​ Требования:   Упор на ПРОДАЖИ! - рассматриваем без опыта работы - умение работать в коллективе - пунктуальность - активные продажи - работа с алкоголем - желание работать и учиться - медицинская книжка (можем помочь с направлением). Условия: - Гибкий График (2/2, 4/3, 5/2 и тд) -Ставка 1500-2500 за смену - плюс процент с продаж и чай - ЛИЧНЫЙ ЧАЙ - Гарантируем стабильность - Предоставим возможность развиваться и строить карьеру в компании - Обеспечим бесплатными вкусными обедами и красивой униформой. Если тебя пригласили на собеседование, пожалуйста, пиши по указанному в приглашении номеру на WhatsApp !!  ;['Грамотная речь', 'Работа в команде', 'Урегулирование конфликтов', 'Активные продажи', 'Грамотная речь', 'Работа в команде', 'Урегулирование конфликтов', 'Активные продажи'];https://hh.ru/vacancy/37897488;barmen;['грамотный_ADJ', 'речь_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'урегулирование_NOUN', 'конфликт_NOUN', 'активный_ADJ', 'продажа_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'урегулирование_NOUN', 'конфликт_NOUN', 'активный_ADJ', 'продажа_NOUN']
32;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">з/п не указана</span>";не требуется;Полная занятость, полный день;Мы, небольшой локальный бар Black Jesus, ищем в свою команду бармена. Нам нужен человек, который прежде всего будет интересен нашим гостям, люди к нам приходят не только пить вкусное пиво, но и пообщаться, важно уметь поддержать разговор с любой компанией, быть креативным и с хорошим чувством юмора, ну и конечно-же знать толк в хорошем импортом пиве) График работы в основном будет с воскресенья по четверг, с 15:00 до 00:00, пятницу и субботу работает сам хозяин, ибо очень много гостей приходит именно к нему. По оплате договоримся, будет фикс и процент с продаж  ;['Работа в команде', 'Креативность', 'Грамотная речь', 'Навыки межличностного общения', 'Корпоративная этика'];https://hh.ru/vacancy/37852877;barmen;['работа_NOUN', 'в_ADP', 'команда_NOUN', 'креативность_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'навык_NOUN', 'межличностный_ADJ', 'общение_NOUN', 'корпоративный_ADJ', 'этика_NOUN']
33;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->80 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"Требуется бармен в специализированный бар-магазин крафтового пива и сидра крупнейшей в Москве сети ""Пивотека 465"". Обязанности: продажа разливного и бутылочного пива, закусок;работа за контактной барной стойкой, поддержание уютной атмосферы в баре;консультирование гостей бара по ассортименту пива, новинкам;отслеживание ассортимента, прием поставок и заказ продукции;выставление продукции, поддержание чистоты в баре;работа с ККТ, участие в инвентаризации.Требования: Любовь к крафту, блестящее знание сортов пива и новинок рынка. (Обязательно)Умение устанавливать контакт с людьми, навыки продаж.Желание учиться и развиваться, умение брать на себя ответственность.Умение работать в режиме многозадачности.Пунктуальность, аккуратность и опрятный внешний вид.Умение разрешать конфликтные ситуации.Опыт работы в баре от 1 года. Знание оборудования пивной системы, ККТ и 1С, СБИС (желательно).От нас: Дружественная атмосфера и поддержка в команде профессионалов. Возможность получить опыт в барах разного формата: от коммунальной квартиры до барного стадиона.График 2/2 или 3/4, оплата фикс + % + бонусы";['Пользователь ПК', 'Инвентаризация', 'Работа в команде', 'Прямые продажи', 'Грамотная речь'];https://hh.ru/vacancy/37904268;barmen;['пользователь_NOUN', 'пк_NOUN', 'инвентаризация_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'прямой_ADJ', 'продажа_NOUN', 'грамотный_ADJ', 'речь_NOUN']
34;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->60 000<!-- --> до <!-- -->90 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";не требуется;Полная занятость, полный день;Приглашаются в команду-бармены Требуемый опыт работы: •Не требуется.Возможно обучение. Обязанности: •Приготовление алкогольных коктейлей и б/а. •Работа за контактной барной стойкой. •Оказание помощи при составлении заказа. •Подготовка бара к открытию и закрытию. •Проведение инвентаризации. •Умение обращаться с оборудованием барной стойки. •Контроль частоты и порядка на рабочем месте. Требования: •Стрессоустойчивость,ответственность,коммуникабельность. •Готовность обучаться и работать •Наличие личной медицинской книжки/готовность ее сделать. •Четкое и быстрое обслуживание гостей. Условия: •Гибкий график работы. •Работа в центре Москвы. •Дружный коллектив. •Стабильные выплаты без задержек,развитие и рост.  ;['Пользователь ПК', 'Барное ремесло', 'Работа в команде', 'R-Keeper'];https://hh.ru/vacancy/37856579;barmen;['пользователь_NOUN', 'пк_NOUN', 'барный_ADJ', 'ремесло_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN']
35;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"Компания Local Band была основана в 2014 году Костеренко Павлом Викторовичем: «Наши проекты очень простые, мы преследуем одну цель — быть комфортными для наших гостей» Мы ищем открытых, честных готовых идти с нами только вперёд! Которые не бояться новых проектов, хотят расти и развиваться!   Что мы хотим видеть от Вас:  Опыт работы Желателен Наличие медицинской книжки(готовность ее сделать) Базовое знание крепкого алкоголя Ты обожаешь кофе, знаешь все про него и напитки на его основе и не только Ты коммуникабельный, стрессоустойчивый, пунктуальный  Чем Вы будете заниматься:  Консультирование по винной карте Качественное и быстрое приготовление напитков Поддержание бара в чистоте и порядке Соблюдать нормы и правила хранения товаров Проведение инвентаризации  Что Мы предлагаем:  График работы 2/2;5/2;4/3. Оформление по ТК или ТД. Бесплатное питание Работа в лучших атмосферных кафе Возможность карьерного роста собеседования проходят ежедневно по адресу метро Славянский бульвар,кафе Американо(1й этаж ТЦ Океания) работа территориально метро Тверская.   ";['Ответственность', 'Работа в команде', 'Ответственное хранение'];https://hh.ru/vacancy/37894983;barmen;['ответственность_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'ответственный_ADJ', 'хранение_NOUN']
36;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->50 000<!-- --> до <!-- -->65 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, сменный график;"Обязанности: - принятие звонков, обслуживание, размещение и расчет гостей; - работа с системой учета (Iiko/Poster) - приготовление напитков по технологическим картам; - поддержание чистоты и порядка в зале; - поддержание доброжелательной атмосферы в коллективе; Требования: ​​​​​​- свободный график, постоянная основа; - ухоженный и опрятный вид; - коммуникабельность; - грамотная речь; - ответственность; - стрессоустойчивость; Условия: - график работы 2/2; - выплата заработной платы производится 2 раза в месяц; - корпоративные скидочные условия внутри заведения; - будем любить, никому не отдавать;";['Ответственность', 'Исполнительность', 'Желание учиться чему-то новому', 'Ответственность', 'Исполнительность', 'Желание учиться чему-то новому'];https://hh.ru/vacancy/37707938;barmen;['ответственность_NOUN', 'исполнительность_NOUN', 'желание_NOUN', 'учиться_VERB', 'что-то_PRON', 'новый_ADJ', 'ответственность_NOUN', 'исполнительность_NOUN', 'желание_NOUN', 'учиться_VERB', 'что-то_PRON', 'новый_ADJ']
37;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">з/п не указана</span>";1–3 года;Полная занятость, полный день;"DoubleTree by Hilton Moscow - Marina находится в поисках ответственного, доброжелательного Бармена в Lobby Bar отеля! Обязанности :  Обслуживание гостей в ресторане/баре согласно требованиям и стандартам отеля Приветствие гостей Поддержание чистоты оборудования, приборов и помещения отдел Выполнение всех процедур открытия и закрытия смены Участие в инвентаризации  Требования :  Знание английского языка на уровне Pre-Intermediate и выше Среднее/средне-специальное/высшее образование Опыт работы на аналогичной должности от 0,6 года Приветливость Стрессоустойчивость  Условия:  График работы 5/2: неделя утро 07:00-16:00 ,следующая неделя вечер 16:00-01:00; Зарплата: почасовая ставка + service charge + чаевые; Работа в Международной Компании; Строгое следование нормам Трудового законодательства РФ; Стабильная (официальная) заработная плата; Бесплатное питание; Медицинская страховка после 1 года работы в Компании; Обучение в рамках Корпоративного университета Хилтон; Перспективы профессионального и карьерного развития; Программа лояльности для сотрудников, которая предоставляет скидки на размещение во всех гостиницах корпорации Хилтон по всему миру. А главное - работа в дружном и профессиональном коллективе над интересными и сложными задачами! ";[];https://hh.ru/vacancy/37642067;barmen;[]
